"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MTIF3",0.131356448146064,9.50599515749359,2.73533700997515,0.0073357753023804,0.0181986060032585,-3.34400498186268
"LTV1",-0.163131064344142,8.77632651780862,-2.73532854628576,0.00733595097350159,0.0181986060032585,-3.34402657094015
"LRRC32",-0.436094085549692,7.37997983184441,-2.73275457379865,0.00738955397425371,0.0183265032497212,-3.35058955203603
"YIPF6",0.139845651353578,9.1405905045974,2.73264479624499,0.00739184799807723,0.0183271157925188,-3.35086933845831
"SLC22A18",0.285406188903581,10.6795678416257,2.73233346258214,0.00739835746994047,0.0183381767520424,-3.35166277145573
"EHBP1L1",-0.255602808696067,8.33011470685065,-2.73192538139907,0.00740689767255794,0.0183542637316389,-3.35270264696905
"ARHGEF1",-0.294562664435781,8.12891951991204,-2.73139316074277,0.00741804930905869,0.0183717559585782,-3.35405865397946
"SEMA6B",-0.22370357983995,7.13464391707899,-2.73130816655149,0.00741983160917285,0.0183717559585782,-3.35427518347343
"FAM172A",0.137669284598218,8.28881249871372,2.73129476071727,0.00742011276066332,0.0183717559585782,-3.35430933537582
"MCC",-0.200168367219772,7.37797855780613,-2.72956251143209,0.00745652371586595,0.0184568031042709,-3.35872109158893
"SH3D19",0.362248478156209,7.7828680036626,2.72927705973171,0.00746253933611943,0.0184665878043884,-3.35944785835782
"ATPAF1",0.145398813648469,7.41546504001084,2.72890902101781,0.00747030191505308,0.0184806888768915,-3.36038479666976
"C1QC",-0.308355776002128,10.5612978847697,-2.72747770105648,0.00750056084434815,0.018550420231892,-3.36402755585439
"MPG",-0.151252930615514,8.7780490360626,-2.72671829643135,0.00751666033084125,0.0185851035465401,-3.36595959635513
"VBP1",0.111619110729354,10.4922081715559,2.72643456556577,0.00752268352813163,0.0185948607474772,-3.36668133135174
"SLCO2B1",-0.341867010458743,7.47369851280067,-2.72632936273782,0.00752491794809015,0.0185952499004281,-3.36694892254612
"CNN3",-0.255828831344383,10.4194252202862,-2.72522229355612,0.00754846780184121,0.0186482980766789,-3.36976429387594
"ABHD2",-0.260062325127632,9.40009882694614,-2.72413064237643,0.00757175530723065,0.018698277516681,-3.37253948782712
"ARMC7",0.182912416130041,8.24396129011546,2.72407820838235,0.0075728754915096,0.018698277516681,-3.37267276124814
"ZBP1",-0.325881302893524,7.94011431850459,-2.72229438613908,0.00761107444874445,0.0187874137137053,-3.37720544669991
"LGALS9",0.194305924494801,9.2033793522906,2.72211757288177,0.00761487027622004,0.0187916024208925,-3.37765458863269
"CFD",-0.353699467068658,8.55375239666256,-2.72172019486921,0.00762340747189529,0.018803671890649,-3.37866391820122
"TYW1",0.136954645652031,8.51617193111654,2.72169441210138,0.00762396168469293,0.018803671890649,-3.37872940134208
"NDST1",-0.258426353153613,7.46445892334077,-2.72145661588892,0.00762907495451003,0.0188111010927371,-3.37933333148735
"SCARB1",0.142517448093099,8.89062720764286,2.72075418504617,0.00764419735926105,0.0188381712265176,-3.38111702591285
"MYRFL",-0.865542230174137,5.51963377250837,-2.72075119361546,0.00764426181904818,0.0188381712265176,-3.38112462125136
"UAP1L1",-0.2445614345604,7.15183873761171,-2.72046953240254,0.00765033331091238,0.0188479455510728,-3.38183973574432
"PON3",0.528759379195874,6.21983211218705,2.7192906950581,0.00767579195263521,0.0189054650211673,-3.38483201117409
"NDNF",0.2651376581552,7.89832307106008,2.71891214046579,0.00768398369501669,0.0189204361995282,-3.38579266876654
"DLEU2",-0.291704299315267,7.30152020622535,-2.71809599405559,0.00770167176700296,0.0189587757299911,-3.38786340899187
"APP",0.145622851391539,11.9272581856674,2.71696844920825,0.00772616957897065,0.0190138527324146,-3.39072334956421
"LYL1",-0.3847705077302,7.33722158219205,-2.7167967585417,0.00772990605684662,0.0190178205350227,-3.39115874114406
"FICD",-0.164087931204059,8.58823063459532,-2.7165581556367,0.00773510146358797,0.019025374561402,-3.39176377640712
"CAPN15",0.204139688314691,8.32123540356574,2.71576010122092,0.00775250159933221,0.0190629351328814,-3.39378710188306
"TAMM41",0.166593629755437,7.39123188583614,2.71427027504306,0.00778507981685423,0.0191377868205096,-3.39756291515424
"TIGD5",0.200016207030465,7.28678502768958,2.71382952927091,0.00779474148596863,0.0191540122547998,-3.39867959682992
"DMTF1",-0.183043118189639,9.45927804201267,-2.71377402536043,0.00779595896978558,0.0191540122547998,-3.39882021143974
"PDE3B",0.185666988121248,7.4045189193666,2.71312367533896,0.00781023734628128,0.0191838285216067,-3.40046763444895
"SH2D3A",0.262943716821642,7.95439549279916,2.71218948655002,0.00783078897362281,0.0192290328252455,-3.40283346059345
"C8orf33",0.191436539802878,8.63275220367679,2.7116683927109,0.00784227408791722,0.0192519550066144,-3.404152820378
"TMEM50B",0.157121701383793,10.1984203079574,2.71055252815124,0.00786691969259589,0.0193071633793341,-3.40697734444791
"NECAB3",0.136193563952086,8.0336335826744,2.70973949025108,0.00788492120348582,0.0193460398834773,-3.40903470675889
"TOR2A",0.229042877252916,7.71800171161638,2.70942973638747,0.00789178932007324,0.0193575862418125,-3.40981838683461
"POLD1",0.153789906298305,7.82234153827759,2.70928291480421,0.00789504666729071,0.0193602719288561,-3.41018981966386
"ORAI1",-0.180884612624253,8.22972135423191,-2.70871367853905,0.00790768715576671,0.0193859592293481,-3.41162972266422
"MST1R",0.31549639516227,9.72154515794139,2.70783089639019,0.00792732663695943,0.0194287860335882,-3.4138622325806
"GTF2A2",0.122406152952072,10.5899587763595,2.70718437875397,0.00794173798417344,0.019458779466969,-3.41549684203119
"MAGEH1",-0.308051757515224,7.90914534017716,-2.70698640929158,0.00794615562523709,0.0194617130530851,-3.41599730639494
"ORAI3",-0.185062126666471,8.75947269908645,-2.70693591271612,0.00794728280152787,0.0194617130530851,-3.41612495604116
"SNRPF",0.193176550771879,9.71739255742876,2.70675954272346,0.00795122084352492,0.0194660323248779,-3.41657078330173
"PPP2R2A",-0.11029918993796,10.3182365636264,-2.70664088614676,0.00795387124063996,0.0194671977084335,-3.41687070869338
"TAPBPL",0.192964338790842,9.66698740923064,2.7043328825964,0.00800558434515033,0.0195884112167617,-3.42270232830078
"EMB",-0.334194453732813,9.38713631557,-2.70398594228818,0.00801338423906296,0.0196021390962652,-3.4235785677415
"LCK",-0.37755659548149,8.04438745446832,-2.7019708564011,0.00805882394255264,0.0197079078824566,-3.42866598303029
"RNF138",0.161588456696154,10.2444251681668,2.70157268631724,0.0080678302255192,0.0197245450598234,-3.42967083987181
"PNPLA6",-0.19599081247049,8.93043541856417,-2.69842458587844,0.00813936019143845,0.0198939917537397,-3.43761114132478
"GRHPR",0.118415239055831,9.56087655005667,2.69775751726882,0.00815459082366868,0.0199257782872013,-3.43929262557124
"PLEKHA7",0.244553475175038,7.97853317292368,2.69687239121381,0.00817484013429463,0.0199683796503704,-3.44152321214093
"ZNF106",-0.11303688854212,9.25415967084794,-2.69680053248033,0.00817648607151324,0.0199683796503704,-3.44170427388588
"LMNB2",0.187782466789124,8.71539368864326,2.69558720279965,0.00820432307798574,0.0200308984230178,-3.44476085699436
"DNPEP",0.119416763288852,9.28362495003225,2.69515768265798,0.00821419801415914,0.0200495405727281,-3.44584260511627
"SLC30A1",-0.183502895165527,9.73474133751348,-2.69129329965827,0.00830352905625466,0.020262059318792,-3.45556834325325
"FAH",0.185215888770889,7.45443739772567,2.69085216976508,0.00831378231585543,0.0202815512462817,-3.45667779290345
"CLSTN1",0.138328997910489,10.5489547965788,2.69027057030965,0.00832731809688611,0.0203090381153422,-3.45814028484045
"TBX10",0.235894536954541,7.05859404119804,2.6901697014483,0.00832966768977771,0.0203092360638834,-3.45839390210054
"ATG4D",0.183178096877671,8.35174407978101,2.68874349299006,0.00836295359366766,0.0203848416891115,-3.46197897264751
"NFAT5",-0.236948743482774,8.10822327498143,-2.68860902878169,0.00836609803707528,0.0203869558317733,-3.46231689118568
"PMAIP1",-0.276465827021235,8.72474368816442,-2.6878874291138,0.00838299097025404,0.0204189859728342,-3.4641300741368
"BCL7B",0.0909228607316955,9.40649542815855,2.68785275573741,0.00838380346656298,0.0204189859728342,-3.46421718822729
"DLG5",0.145830754079344,9.06492974158969,2.68709584325579,0.00840155790581688,0.0204536912168817,-3.46611862733845
"GSTA4",0.152870091449453,9.16466293397583,2.68705051732008,0.00840262217085793,0.0204536912168817,-3.46623247582476
"ITPRIPL2",-0.216502965447966,9.11671753779068,-2.68567186595531,0.00843505177828082,0.0205270504405948,-3.46969453926783
"PRPS2",0.15349776793293,9.66863781075348,2.68369531364777,0.00848174376714981,0.0206329351483627,-3.47465535761645
"BHLHE41",-0.332482426557271,9.32737971577895,-2.68363503168687,0.00848317148231018,0.0206329351483627,-3.47480660549738
"NDUFB4",0.107219194461448,11.9877531152566,2.6827337361774,0.00850454373786792,0.020679299316983,-3.47706761068527
"DHDDS",0.161562257552955,9.59351737609167,2.6825187906125,0.00850964791095619,0.0206860922472959,-3.4776067293612
"RHOB",-0.360105527148021,8.54167018800238,-2.68231041244851,0.00851459878494082,0.0206925089363668,-3.47812934010442
"KIF1BP",0.106672853800351,9.08462157171991,2.68062776464419,0.00855467278898088,0.0207842565752363,-3.48234811506151
"KIAA0922",-0.386129883700946,8.44248372163802,-2.67968397530455,0.00857722492630854,0.0208333952157462,-3.48471339964009
"KIFAP3",0.211589727064275,9.19373400911587,2.67951658123823,0.00858123048465457,0.020837471258235,-3.48513283995531
"FOXF2",-0.242820775485212,8.60399044612543,-2.67932874859095,0.00858572713595048,0.0208427372690251,-3.48560346624168
"MOGAT3",0.347438331393776,8.19628529990371,2.67910567808002,0.00859107014600132,0.0208487646222541,-3.48616234593495
"MICAL2",0.240179066766613,7.5232309545925,2.67889578209992,0.00859610035174513,0.0208487646222541,-3.48668818130962
"NR4A2",-0.524776841551806,8.66615551748823,-2.67885592119717,0.0085970559292564,0.0208487646222541,-3.48678803755184
"RETSAT",0.215594128129076,10.418201905169,2.67883636677854,0.00859752473867554,0.0208487646222541,-3.48683702319477
"NDUFB2",0.135505902101184,11.4111948952438,2.67780792877446,0.00862221383174467,0.020902973310482,-3.4894129184597
"DCAF11",0.141700008515969,9.25578354534411,2.67759853637511,0.00862724846042241,0.0209095169101683,-3.48993727149137
"KIAA1841",0.224309901228487,7.77558451454734,2.67633161924729,0.00865776710672317,0.0209778048461414,-3.49310908047396
"UBAC2",0.148925060014955,8.9802964732151,2.67557045868278,0.00867614967386409,0.0210166580168034,-3.4950140678288
"IMMT",0.131447603779856,10.379390225844,2.67525312928666,0.00868382385101468,0.0210295577327927,-3.49580812185176
"IDI1",0.221000326312504,10.4184586034512,2.6746216751999,0.00869911301573554,0.0210608866495079,-3.49738796722644
"ZKSCAN1",0.193945464725538,8.76977824903612,2.67308794863629,0.0087363502556683,0.0211453213947008,-3.5012238729419
"PDK2",0.355195562152773,7.02412952509327,2.67234212451463,0.00875451023800642,0.0211835486921274,-3.50308851482489
"DENND4B",-0.227838202716069,8.89097134155527,-2.6721143022148,0.00876006427517931,0.0211912605932668,-3.50365800529162
"HMBS",0.148932386683451,9.11527230954708,2.67186005530064,0.00876626628440338,0.0212005353982343,-3.50429349987824
"SRD5A1",0.179640809639792,8.76171872748302,2.6716508399999,0.00877137279347706,0.0212045613600736,-3.50481639772948
"MTUS1",0.227249683471501,9.46418161613649,2.67159779859796,0.00877266785186111,0.0212045613600736,-3.50494895998183
"CBFA2T2",0.183984603388276,7.24888699616083,2.67086695442835,0.00879052979300191,0.0212404018878833,-3.50677526898837
"SUPT5H",-0.135372541796352,9.41489215219408,-2.67079702840444,0.00879224052233838,0.0212404018878833,-3.5069499845946
"SND1",-0.150447282224802,9.94766026215878,-2.67045111867309,0.00880070758996373,0.0212551214062437,-3.50781420843726
"BCAS3",-0.322764017788197,7.1734639136986,-2.66966983011171,0.00881985892673475,0.0212956302510939,-3.50976582824257
"MANSC1",0.185321552497417,10.5036972130352,2.66921518862219,0.00883102070526096,0.021316831591858,-3.5109012713822
"RAB5B",0.118952920098646,10.0873612647454,2.66866289466514,0.0088445971449553,0.0213438485818827,-3.51228037014524
